Model,Year,Region,Color,Fuel Type,Base Price (USD),Horsepower,Sales Volume,Turbo
E-Class,2022,Global,Grey,Diesel,80610,244,1,Yes
A-Class,2023,Global,Black,Diesel,80906,206,1,Yes
C-Class,2024,Global,Grey,Diesel,98729,244,1,Yes
GLA,2024,Global,Black,Petrol,57874,297,1,Yes
GLC,2024,Global,Silver,Petrol,144611,460,1,Yes
GLC,2024,Global,Grey,Petrol,138107,312,1,Yes
A-Class,2025,Global,Blue,Petrol,78743,344,1,No
GLC,2021,Global,Black,Petrol,99910,408,1,Yes
E-Class,2025,Global,Black,Electric,84012,241,1,Yes
GLE,2024,Global,Grey,Petrol,107421,430,1,Yes
A-Class,2020,Global,Grey,Diesel,71576,177,1,Yes
GLE,2022,Global,Black,Petrol,151917,380,1,Yes
C-Class,2020,Global,Grey,Diesel,83823,506,1,No
GLC,2020,Global,White,Petrol,85877,453,1,Yes
GLB,2021,Global,White,Petrol,91369,209,1,Yes
C-Class,2025,Global,Black,Petrol,55047,361,1,Yes
E-Class,2023,Global,Grey,Hybrid,56874,342,1,Yes
GLC,2023,Global,Black,Petrol,149142,464,1,Yes
E-Class,2020,Global,Silver,Petrol,84494,254,1,Yes
GLC,2025,Global,Black,Hybrid,114628,401,1,Yes
GLC,2023,Global,White,Petrol,103129,508,1,Yes
A-Class,2024,Global,Black,Hybrid,95774,355,1,Yes
GLC,2020,Global,Black,Diesel,71129,350,1,Yes
GLC,2023,Global,Grey,Petrol,163749,504,1,Yes
GLC,2020,Global,Brown,Petrol,60604,394,1,No
C-Class,2025,Global,Blue,Electric,58972,415,1,Yes
C-Class,2023,Global,White,Diesel,65624,278,1,Yes
GLC,2023,Global,Grey,Petrol,85187,416,1,Yes
GLE,2024,Global,Black,Hybrid,114417,420,1,Yes
GLB,2025,Global,Silver,Electric,60888,249,1,Yes
C-Class,2025,Global,Grey,Electric,59069,384,1,Yes
G-Class,2021,Global,Silver,Petrol,264637,533,1,Yes
A-Class,2021,Global,Black,Petrol,82210,303,1,Yes
GLE,2023,Global,Red,Diesel,122893,462,1,Yes
A-Class,2020,Global,White,Petrol,54525,378,1,No
A-Class,2023,Global,Green,Diesel,39383,322,1,No
C-Class,2022,Global,White,Petrol,77800,414,1,Yes
A-Class,2024,Global,Black,Petrol,98972,315,1,Yes
CLS,2023,Global,White,Hybrid,55616,416,1,Yes
GLC,2023,Global,Black,Petrol,115490,486,1,Yes
AMG S 63,2025,Global,Green,Petrol,241350,806,1,Yes
GLA,2022,Global,Black,Diesel,82069,354,1,Yes
GLB,2020,Global,Black,Diesel,72530,346,1,Yes
C-Class,2025,Global,Grey,Diesel,75453,337,1,Yes
C-Class,2020,Global,Black,Petrol,88401,379,1,Yes
E-Class,2022,Global,Black,Petrol,83895,517,1,Yes
A-Class,2025,Global,Black,Electric,60949,375,1,Yes
GLA,2020,Global,Green,Petrol,41595,166,1,No
GLC,2022,Global,Silver,Diesel,78995,220,1,Yes
E-Class,2022,Global,White,Diesel,53112,525,1,Yes
GLC,2023,Global,Black,Hybrid,130110,384,1,Yes
GLE,2021,Global,Black,Petrol,93499,347,1,Yes
GLC,2021,Global,Black,Diesel,92364,488,1,Yes
GLC,2023,Global,Grey,Petrol,92981,473,1,No
A-Class,2020,Global,Black,Diesel,82358,384,1,Yes
S-Class,2024,Global,Grey,Hybrid,232482,482,1,No
GLC,2021,Global,Black,Petrol,96464,493,1,Yes
GLC,2024,Global,Grey,Electric,76063,306,1,No
CLS,2020,Global,Orange,Hybrid,52604,391,1,Yes
A-Class,2022,Global,White,Petrol,84573,238,1,Yes
GLA,2023,Global,White,Petrol,85524,311,1,Yes
S-Class,2023,Global,White,Hybrid,304731,764,1,Yes
GLA,2022,Global,Blue,Diesel,45082,409,1,No
A-Class,2021,Global,White,Petrol,45306,223,1,Yes
GLS,2025,Global,Grey,Electric,212318,426,1,Yes
C-Class,2024,Global,Black,Electric,70865,437,1,Yes
CLA,2024,Global,Red,Petrol,46052,204,1,Yes
A-Class,2020,Global,White,Petrol,80353,271,1,Yes
C-Class,2020,Global,Black,Petrol,87230,496,1,Yes
GLC,2024,Global,White,Electric,79971,415,1,Yes
AMG A 45,2021,Global,Yellow,Petrol,236557,402,1,Yes
S-Class,2021,Global,Black,Diesel,140452,768,1,Yes
CLS,2020,Global,Red,Diesel,50635,355,1,Yes
AMG A 45,2025,Global,Black,Petrol,212727,420,1,Yes
A-Class,2025,Global,Green,Electric,42584,205,1,Yes
CLA,2023,Global,Silver,Electric,74672,281,1,Yes
AMG C 63,2022,Global,Brown,Petrol,204480,478,1,Yes
A-Class,2021,Global,Yellow,Petrol,73861,381,1,Yes
GLB,2020,Global,Silver,Petrol,82414,192,1,Yes
E-Class,2024,Global,Brown,Electric,67416,417,1,Yes
GLC,2020,Global,Silver,Petrol,132776,489,1,Yes
GLS,2025,Global,White,Electric,304919,579,1,Yes
AMG GT,2024,Global,Green,Diesel,312025,488,1,Yes
GLC,2020,Global,Black,Petrol,130704,215,1,No
CLA,2022,Global,Brown,Diesel,76289,212,1,No
AMG A 45,2021,Global,Black,Petrol,152705,400,1,Yes
GLC,2021,Global,White,Petrol,139521,249,1,Yes
C-Class,2023,Global,Grey,Petrol,51986,329,1,Yes
GLC,2021,Global,Blue,Diesel,75460,273,1,Yes
GLC,2022,Global,White,Diesel,116573,449,1,Yes
GLC,2025,Global,Black,Petrol,116871,408,1,Yes
A-Class,2023,Global,Black,Hybrid,81252,274,1,No
E-Class,2025,Global,Silver,Electric,63267,552,1,Yes
A-Class,2021,Global,Black,Petrol,60269,303,1,Yes
A-Class,2022,Global,White,Petrol,48651,223,1,Yes
GLC,2025,Global,Black,Hybrid,153384,375,1,No
GLE,2024,Global,Silver,Petrol,93167,302,1,Yes
GLB,2023,Global,White,Petrol,75627,228,1,Yes
GLB,2020,Global,Red,Petrol,82271,217,1,Yes
GLB,2022,Global,Silver,Hybrid,78948,255,1,Yes
C-Class,2024,Global,Black,Electric,97571,354,1,No
A-Class,2025,Global,Grey,Hybrid,69220,254,1,Yes
GLC,2021,Global,White,Petrol,133454,435,1,Yes
GLE,2022,Global,Green,Petrol,69998,283,1,No
AMG GT,2022,Global,Blue,Diesel,210311,815,1,No
GLS,2022,Global,Black,Petrol,292697,592,1,Yes
A-Class,2024,Global,White,Petrol,87887,223,1,Yes
GLE,2025,Global,White,Petrol,152590,471,1,Yes
GLA,2021,Global,White,Petrol,84186,410,1,Yes
E-Class,2020,Global,White,Petrol,88160,533,1,No
GLC,2025,Global,White,Electric,162294,267,1,Yes
GLE,2023,Global,Grey,Petrol,94395,372,1,Yes
GLC,2024,Global,Grey,Petrol,76293,426,1,Yes
GLA,2024,Global,Brown,Petrol,67423,344,1,Yes
GLE,2023,Global,Red,Petrol,161093,256,1,Yes
G-Class,2021,Global,Black,Petrol,232807,525,1,Yes
GLA,2021,Global,Red,Petrol,47114,226,1,No
GLC,2020,Global,Red,Petrol,80127,494,1,Yes
GLC,2020,Global,White,Petrol,116083,324,1,Yes
GLA,2021,Global,Silver,Electric,89997,229,1,Yes
E-Class,2020,Global,Black,Diesel,73660,593,1,Yes
GLS,2023,Global,Grey,Hybrid,238659,565,1,Yes
GLE,2023,Global,Black,Diesel,103302,386,1,No
A-Class,2020,Global,Grey,Petrol,55754,263,1,Yes
A-Class,2024,Global,Blue,Hybrid,63018,167,1,No
C-Class,2022,Global,Silver,Petrol,77233,236,1,Yes
GLE,2020,Global,Silver,Petrol,119178,533,1,Yes
GLE,2023,Global,White,Hybrid,116310,561,1,Yes
GLC,2024,Global,Red,Hybrid,150563,436,1,Yes
GLC,2023,Global,Black,Petrol,145272,337,1,Yes
CLA,2021,Global,White,Petrol,87537,352,1,Yes
GLC,2020,Global,Yellow,Diesel,124947,230,1,Yes
A-Class,2020,Global,Black,Petrol,35390,262,1,Yes
GLC,2022,Global,Black,Diesel,156934,264,1,Yes
GLC,2024,Global,Silver,Diesel,143856,205,1,No
A-Class,2021,Global,Grey,Diesel,54022,162,1,Yes
GLE,2024,Global,Grey,Hybrid,138085,490,1,Yes
GLB,2023,Global,White,Petrol,77663,262,1,Yes
GLE,2020,Global,Black,Diesel,96881,474,1,Yes
A-Class,2023,Global,Black,Petrol,96606,385,1,Yes
A-Class,2022,Global,White,Electric,96032,333,1,Yes
CLS,2023,Global,Silver,Petrol,76025,340,1,Yes
GLC,2020,Global,Grey,Petrol,85093,444,1,Yes
GLC,2024,Global,White,Petrol,126864,294,1,Yes
A-Class,2023,Global,White,Electric,50220,174,1,No
G-Class,2025,Global,Black,Electric,187156,480,1,Yes
CLA,2022,Global,Grey,Petrol,56966,237,1,Yes
A-Class,2024,Global,Grey,Diesel,68368,227,1,Yes
CLA,2021,Global,White,Petrol,47941,242,1,Yes
GLB,2025,Global,Black,Diesel,85326,170,1,Yes
GLA,2022,Global,White,Electric,38815,300,1,Yes
GLA,2022,Global,White,Electric,89404,179,1,Yes
GLB,2021,Global,White,Diesel,76480,192,1,Yes
GLC,2021,Global,Red,Diesel,111021,494,1,Yes
CLA,2024,Global,Grey,Petrol,92018,255,1,Yes
GLC,2025,Global,Silver,Hybrid,150750,371,1,Yes
GLC,2023,Global,Black,Petrol,97653,408,1,Yes
GLE,2023,Global,White,Petrol,107107,254,1,Yes
GLE,2021,Global,Black,Petrol,111232,332,1,No
GLS,2021,Global,Grey,Diesel,166718,410,1,No
E-Class,2020,Global,White,Petrol,50750,549,1,Yes
GLE,2025,Global,Black,Hybrid,156374,424,1,Yes
C-Class,2023,Global,White,Petrol,56000,268,1,No
GLE,2021,Global,Silver,Petrol,142752,361,1,No
GLC,2022,Global,Red,Diesel,76773,216,1,Yes
GLC,2024,Global,Grey,Electric,163596,385,1,Yes
GLB,2024,Global,White,Petrol,72108,191,1,No
GLC,2024,Global,White,Hybrid,150230,390,1,Yes
A-Class,2020,Global,Blue,Petrol,84348,294,1,Yes
GLE,2025,Global,Yellow,Electric,120587,497,1,Yes
GLB,2024,Global,Black,Petrol,54088,400,1,Yes
GLC,2024,Global,White,Petrol,145687,244,1,Yes
E-Class,2024,Global,Black,Petrol,50475,279,1,Yes
G-Class,2020,Global,White,Petrol,346995,485,1,Yes
GLA,2020,Global,White,Diesel,83900,167,1,Yes
CLA,2022,Global,Black,Diesel,65094,202,1,Yes
GLC,2025,Global,Yellow,Hybrid,110767,357,1,Yes
GLA,2021,Global,White,Petrol,54712,341,1,Yes
E-Class,2024,Global,Silver,Electric,65828,464,1,Yes
GLB,2022,Global,Black,Petrol,44457,200,1,Yes
GLS,2022,Global,Blue,Diesel,301768,553,1,Yes
GLE,2022,Global,Black,Hybrid,80741,417,1,Yes
GLC,2023,Global,Red,Hybrid,145883,491,1,Yes
GLS,2022,Global,White,Petrol,234804,378,1,Yes
GLE,2024,Global,Silver,Hybrid,109099,372,1,No
A-Class,2024,Global,Black,Electric,83478,285,1,Yes
C-Class,2024,Global,Red,Electric,86565,344,1,Yes
GLC,2023,Global,Black,Hybrid,135629,475,1,Yes
E-Class,2021,Global,Grey,Diesel,42795,506,1,Yes
A-Class,2024,Global,White,Petrol,95379,235,1,Yes
E-Class,2020,Global,Red,Diesel,62568,299,1,Yes
A-Class,2023,Global,Black,Petrol,64783,352,1,Yes
GLE,2022,Global,Black,Diesel,118424,334,1,Yes
A-Class,2023,Global,Grey,Hybrid,57913,372,1,Yes
GLE,2023,Global,Black,Petrol,110578,317,1,Yes
AMG C 63,2021,Global,Black,Diesel,187932,499,1,Yes
A-Class,2021,Global,Black,Hybrid,57184,256,1,No
GLE,2020,Global,White,Petrol,131117,323,1,Yes
GLE,2022,Global,Grey,Electric,159968,612,1,Yes
GLC,2021,Global,Green,Petrol,68774,451,1,Yes
GLS,2025,Global,Silver,Hybrid,395991,454,1,Yes
GLC,2021,Global,Black,Petrol,136564,376,1,Yes
E-Class,2020,Global,Silver,Diesel,63545,377,1,Yes
GLC,2023,Global,Black,Petrol,82778,269,1,Yes
A-Class,2022,Global,White,Diesel,77398,304,1,Yes
CLA,2024,Global,White,Petrol,55195,281,1,Yes
GLC,2020,Global,White,Petrol,116449,404,1,Yes
GLC,2021,Global,Silver,Petrol,79089,319,1,Yes
A-Class,2025,Global,Black,Hybrid,88081,189,1,Yes
GLC,2021,Global,Blue,Petrol,87542,294,1,No
GLB,2021,Global,Silver,Diesel,89791,268,1,Yes
C-Class,2025,Global,White,Petrol,93499,404,1,Yes
C-Class,2025,Global,White,Electric,85004,429,1,Yes
GLE,2023,Global,White,Hybrid,83149,318,1,Yes
GLA,2024,Global,Black,Petrol,61587,270,1,Yes
AMG S 63,2023,Global,Brown,Electric,297925,806,1,Yes
GLE,2024,Global,Blue,Petrol,111636,475,1,Yes
C-Class,2021,Global,Black,Petrol,73671,212,1,Yes
GLC,2020,Global,Silver,Petrol,97520,363,1,Yes
GLC,2022,Global,Black,Petrol,156316,294,1,Yes
GLC,2022,Global,Silver,Petrol,76561,406,1,Yes
E-Class,2025,Global,Black,Petrol,88611,299,1,Yes
GLC,2022,Global,Grey,Petrol,81372,333,1,Yes
A-Class,2025,Global,Blue,Hybrid,105276,384,1,No
GLB,2022,Global,Black,Diesel,50529,413,1,Yes
GLC,2020,Global,White,Petrol,101897,302,1,Yes
GLC,2024,Global,Grey,Hybrid,76448,245,1,Yes
A-Class,2021,Global,Grey,Petrol,42992,321,1,Yes
E-Class,2022,Global,Black,Petrol,81558,366,1,Yes
GLC,2024,Global,Black,Electric,126658,479,1,Yes
CLA,2021,Global,Blue,Diesel,53989,348,1,Yes
GLS,2023,Global,Grey,Petrol,188078,597,1,Yes
GLB,2023,Global,White,Petrol,44371,221,1,Yes
GLB,2021,Global,Black,Diesel,90059,182,1,Yes
GLC,2024,Global,Silver,Diesel,139387,463,1,Yes
GLA,2021,Global,Grey,Diesel,58393,237,1,No
CLA,2025,Global,Black,Hybrid,94740,409,1,Yes
GLA,2025,Global,White,Electric,56065,330,1,Yes
GLA,2025,Global,White,Hybrid,59175,243,1,Yes
GLA,2025,Global,Silver,Petrol,89229,160,1,Yes
E-Class,2025,Global,Green,Petrol,88792,204,1,Yes
GLE,2021,Global,Black,Petrol,115746,344,1,Yes
E-Class,2021,Global,Black,Petrol,64487,202,1,Yes
AMG A 45,2021,Global,Black,Hybrid,266466,418,1,Yes
GLA,2024,Global,Grey,Electric,72988,407,1,Yes
C-Class,2025,Global,Red,Petrol,86227,370,1,Yes
A-Class,2023,Global,Silver,Petrol,87480,211,1,Yes
CLA,2023,Global,Black,Diesel,47480,393,1,Yes
C-Class,2021,Global,White,Petrol,77545,270,1,Yes
A-Class,2025,Global,Grey,Electric,79264,168,1,Yes
E-Class,2021,Global,Grey,Petrol,80243,458,1,No
GLS,2023,Global,Silver,Electric,352018,405,1,Yes
GLB,2025,Global,Black,Petrol,90093,337,1,No
A-Class,2023,Global,Grey,Petrol,93839,235,1,Yes
GLA,2024,Global,White,Petrol,57906,411,1,Yes
GLA,2020,Global,Black,Petrol,85609,256,1,Yes
GLA,2024,Global,Yellow,Hybrid,87809,172,1,No
GLC,2025,Global,Blue,Diesel,125310,456,1,Yes
E-Class,2025,Global,Grey,Electric,41611,276,1,Yes
S-Class,2022,Global,Grey,Hybrid,179656,527,1,Yes
GLA,2021,Global,White,Petrol,86655,401,1,Yes
S-Class,2020,Global,Silver,Diesel,293238,630,1,Yes
GLE,2024,Global,Silver,Hybrid,141230,557,1,Yes
CLA,2022,Global,Black,Petrol,94027,349,1,Yes
GLA,2023,Global,White,Diesel,70220,259,1,Yes
C-Class,2023,Global,Black,Petrol,74299,242,1,Yes
E-Class,2022,Global,Grey,Petrol,77276,274,1,Yes
E-Class,2022,Global,Silver,Hybrid,42605,316,1,Yes
E-Class,2022,Global,Yellow,Diesel,57524,233,1,Yes
C-Class,2022,Global,White,Petrol,41374,469,1,No
GLE,2020,Global,Blue,Diesel,120926,355,1,Yes
AMG C 63,2025,Global,Black,Diesel,173767,485,1,Yes
S-Class,2025,Global,Red,Diesel,248011,697,1,Yes
C-Class,2024,Global,Blue,Hybrid,52176,399,1,Yes
GLE,2024,Global,Black,Petrol,123135,357,1,Yes
GLB,2024,Global,Silver,Electric,78059,193,1,Yes
C-Class,2023,Global,Blue,Hybrid,58213,324,1,Yes
C-Class,2024,Global,Grey,Petrol,54722,319,1,Yes
E-Class,2021,Global,Black,Petrol,78039,242,1,Yes
A-Class,2021,Global,Grey,Diesel,79131,227,1,Yes
A-Class,2024,Global,Blue,Hybrid,78299,400,1,No
A-Class,2022,Global,Blue,Petrol,90627,236,1,Yes
GLC,2020,Global,Grey,Petrol,90403,278,1,No
A-Class,2021,Global,Yellow,Hybrid,45868,346,1,Yes
A-Class,2025,Global,Grey,Petrol,99274,305,1,Yes
GLC,2021,Global,Grey,Hybrid,100683,458,1,Yes
A-Class,2024,Global,White,Petrol,87347,180,1,Yes
GLC,2022,Global,Yellow,Diesel,137172,304,1,Yes
GLC,2021,Global,Silver,Petrol,107143,461,1,Yes
C-Class,2023,Global,Black,Hybrid,84012,317,1,Yes
GLE,2023,Global,Black,Hybrid,81586,399,1,Yes
GLE,2021,Global,White,Diesel,115620,330,1,Yes
A-Class,2023,Global,Blue,Hybrid,98980,267,1,Yes
GLA,2024,Global,Grey,Petrol,86952,163,1,Yes
GLB,2020,Global,Black,Diesel,75937,262,1,Yes
GLC,2025,Global,Black,Electric,150664,366,1,Yes
GLC,2022,Global,Blue,Petrol,79084,433,1,Yes
GLC,2023,Global,Black,Petrol,116732,308,1,Yes
A-Class,2021,Global,Black,Petrol,78656,243,1,Yes
GLE,2025,Global,White,Hybrid,92893,353,1,Yes
GLC,2024,Global,Red,Diesel,129036,330,1,Yes
GLC,2025,Global,White,Hybrid,117246,302,1,Yes
GLE,2022,Global,White,Electric,80831,256,1,Yes
E-Class,2023,Global,Silver,Diesel,89437,601,1,Yes
GLE,2024,Global,White,Petrol,103895,491,1,Yes
AMG A 45,2023,Global,Black,Petrol,171940,407,1,No
E-Class,2020,Global,Silver,Petrol,52247,591,1,No
C-Class,2020,Global,Green,Diesel,59816,496,1,Yes
GLA,2022,Global,Grey,Petrol,85607,201,1,Yes
S-Class,2020,Global,Black,Petrol,342286,515,1,Yes
GLE,2023,Global,Black,Petrol,115485,277,1,Yes
E-Class,2025,Global,Grey,Hybrid,68946,251,1,Yes
A-Class,2020,Global,Black,Petrol,83024,410,1,Yes
GLC,2022,Global,Black,Electric,85040,201,1,Yes
GLC,2023,Global,Green,Petrol,67674,348,1,Yes
GLE,2022,Global,Black,Petrol,112952,313,1,Yes
GLC,2023,Global,Grey,Petrol,85513,297,1,Yes
GLE,2024,Global,White,Hybrid,99264,515,1,No
A-Class,2021,Global,Brown,Diesel,65652,312,1,No
C-Class,2023,Global,Black,Diesel,50929,445,1,Yes
C-Class,2024,Global,Grey,Diesel,74088,457,1,Yes
E-Class,2021,Global,Grey,Petrol,53461,235,1,Yes
E-Class,2025,Global,Grey,Electric,84033,258,1,No
E-Class,2024,Global,Silver,Petrol,93891,488,1,Yes
GLC,2021,Global,White,Petrol,80192,238,1,No
GLS,2023,Global,Grey,Diesel,259718,471,1,No
GLC,2021,Global,White,Petrol,68914,393,1,Yes
CLA,2025,Global,Green,Hybrid,70515,217,1,Yes
GLB,2022,Global,White,Petrol,55375,310,1,Yes
A-Class,2024,Global,Grey,Electric,93283,319,1,Yes
A-Class,2021,Global,White,Petrol,48453,395,1,Yes
GLE,2021,Global,White,Petrol,147247,399,1,No
A-Class,2020,Global,Blue,Diesel,62532,216,1,Yes
CLA,2023,Global,Black,Petrol,94823,354,1,Yes
AMG GT,2025,Global,White,Hybrid,154371,791,1,Yes
GLC,2024,Global,Grey,Petrol,152964,393,1,Yes
A-Class,2022,Global,Silver,Hybrid,93778,242,1,Yes
GLA,2023,Global,Blue,Petrol,75275,208,1,Yes
GLC,2022,Global,Red,Electric,74111,463,1,Yes
S-Class,2023,Global,Black,Hybrid,264678,517,1,Yes
E-Class,2025,Global,White,Electric,67274,363,1,Yes
AMG GT,2024,Global,Grey,Electric,384102,676,1,Yes
GLB,2024,Global,Blue,Petrol,89371,364,1,Yes
A-Class,2023,Global,Red,Hybrid,88497,225,1,Yes
GLC,2021,Global,White,Petrol,98559,201,1,Yes
A-Class,2022,Global,Grey,Hybrid,77621,176,1,Yes
GLB,2023,Global,Green,Diesel,75032,288,1,Yes
C-Class,2021,Global,Silver,Diesel,47629,381,1,Yes
GLA,2021,Global,Black,Petrol,90796,375,1,Yes
A-Class,2023,Global,Brown,Petrol,44004,272,1,Yes
GLE,2023,Global,Black,Hybrid,147524,582,1,Yes
A-Class,2020,Global,White,Petrol,52772,209,1,Yes
GLA,2024,Global,White,Hybrid,100468,165,1,Yes
E-Class,2024,Global,Red,Electric,82215,549,1,Yes
GLB,2021,Global,Grey,Hybrid,62241,392,1,Yes
GLA,2025,Global,Red,Petrol,67126,394,1,No
A-Class,2023,Global,Grey,Hybrid,62055,287,1,No
GLE,2020,Global,Silver,Diesel,124075,307,1,No
GLC,2021,Global,Blue,Petrol,145675,375,1,Yes
A-Class,2021,Global,Grey,Diesel,89125,177,1,No
GLC,2021,Global,Grey,Petrol,139067,279,1,Yes
A-Class,2020,Global,Brown,Diesel,45253,280,1,Yes
CLA,2022,Global,Red,Petrol,83474,339,1,No
A-Class,2022,Global,Grey,Petrol,58390,203,1,Yes
GLE,2025,Global,Grey,Petrol,146041,558,1,Yes
CLA,2020,Global,Silver,Petrol,68309,211,1,Yes
S-Class,2023,Global,White,Hybrid,253300,472,1,Yes
GLE,2023,Global,Silver,Petrol,162019,554,1,Yes
GLB,2025,Global,Blue,Electric,60816,255,1,Yes
GLC,2023,Global,Red,Hybrid,150529,229,1,No
GLB,2021,Global,Grey,Petrol,37809,174,1,Yes
E-Class,2025,Global,Red,Petrol,74720,313,1,Yes
S-Class,2022,Global,Green,Diesel,234683,512,1,No
G-Class,2022,Global,Black,Petrol,227839,422,1,Yes
GLS,2023,Global,Red,Electric,250212,569,1,Yes
GLE,2024,Global,Grey,Diesel,78539,516,1,Yes
GLA,2020,Global,White,Petrol,47254,248,1,Yes
